key,en,jp,ch,tc,ru,sp,latam,gr,pl,it,tr,fr,br,pr,kr,hu
holy_shield_name,Holy Shield,聖なるバリア,信仰守护,信仰守護,Святой щит,Escudo Santo,Escudo Santo,Heiliges Schild,Boska Tarcza,Scudo Divino,İlahi Kalkan,Bouclier sacré,Escudo Sagrado,Escudo Sagrado,신성한 보호막,Szentelt Pajzs
holy_shield_description,A <color=#f5d6c1>Holy Shield</color> protects you from damage once. The <color=#f5d6c1>Holy Shield</color> regenerates in <color=#f5d6c1>2</color> minutes after breaking.,一度ダメージを吸収する<color=#f5d6c1>聖なるバリア</color>。壊れてから<color=#f5d6c1>2</color>分後に再生する。,<color=#f5d6c1>信仰守护</color> 可吸收一次伤害。 <color=#f5d6c1>信仰守护</color> 失效后将在 <color=#f5d6c1>2</color> 分钟后重新生成。,<color=#f5d6c1>信仰守護</color> 可吸收一次傷害。 <color=#f5d6c1>信仰守護</color> 失效後將在 <color=#f5d6c1>2</color> 分鐘後重新生成。,"Защищает от получения урона 1 раз, восстанавливается через <color=#f5d6c1>2</color> минуты после разрушения.",El <color=#f5d6c1>Escudo Santo</color> te proteje del daño una vez. El <color=#f5d6c1>Escudo Santo</color> se regenera luego de <color=#f5d6c1>2</color> minutos luego de romperse.,El <color=#f5d6c1>Escudo Santo</color> te proteje del daño una vez. El <color=#f5d6c1>Escudo Santo</color> se regenera luego de <color=#f5d6c1>2</color> minutos luego de romperse.,"Das <color=#f5d6c1>Heilige Schild</color> beschützt dich einmal vor Schaden. Das <color=#f5d6c1>Heilige Schild</color> erneuert sich in <color=#f5d6c1>2</color> Minuten, nachdem es zerstört wurde.",<color=#f5d6c1>Boska Tarcza</color> jednorazowo chroni cię od obrażeń. <color=#f5d6c1>Boska Tarcza</color> regeneruje się w <color=#f5d6c1>2</color> minuty od zniszczenia.,Uno <color=#f5d6c1>Scudo Sacro</color> ti protegge da un danno. Lo <color=#f5d6c1>Scudo Sacro</color> si rigenera dopo <color=#f5d6c1>2</color> minuti dalla rottura.,Seni tek bir hasardan koruyan <color=#f5d6c1>İlahi Kalkan</color> verir. <color=#f5d6c1>İlahi Kalkan</color> kırıldıktan <color=#f5d6c1>2</color> dakika sonra yenilenir.,Un <color=#f5d6c1>Bouclier sacré</color> vous protège des dégâts une fois. Le <color=#f5d6c1>Bouclier sacré</color> se régénère en <color=#f5d6c1>2</color> minutes.,O <color=#f5d6c1>Escudo Sagrado</color> te protege do dano uma vez. O <color=#f5d6c1>Escudo Sagrado</color> se regenera em <color=#f5d6c1>2</color> minutos após ser destruído.,O <color=#f5d6c1>Escudo Sagrado</color> te protege do dano uma vez. O <color=#f5d6c1>Escudo Sagrado</color> se regenera em <color=#f5d6c1>2</color> minutos após ser destruído.,<color=#f5d6c1>신성한 보호막</color>은 적의 공격을 한 번 방어해줍니다. 깨진 보호막은 <color=#f5d6c1>2</color>분 뒤에 재생됩니다.,"Egy <color=#f5d6c1>Szent Pajzs</color> megvéd a következő sebzéstől. A <color=#f5d6c1>Szentelt Pajzs</color> 2 perc után regenerálódik, ha eltörik."
stalwart_shield_name,Stalwart Shield,頑丈バリア,神圣守护,神聖守護,Быстрый щит,Escudo Leal,Escudo Leal,Standhaftes Schild,Silna Tarcza,Scudo Fedele,Korkusuz Kalkan,Bouclier de vaillance,Escudo Resoluto,Escudo Resoluto,튼튼한 보호막,Tartós Pajzs
stalwart_shield_description,<color=#f5d6c1>Holy Shield</color> now regenerates in <color=#f5d6c1>1</color> minute.,<color=#f5d6c1>聖なるバリア</color>が<color=#f5d6c1>1</color>分で再生できる。,<color=#f5d6c1>信仰守护</color> 失效后将在 <color=#f5d6c1>1</color> 分钟后重新生成。,<color=#f5d6c1>信仰守護</color> 失效後將在 <color=#f5d6c1>1</color> 分鐘後重新生成。,Сокращает время восстановления щита на  <color=#f5d6c1>1</color> минуту.,<color=#f5d6c1>Escudo Santo</color> ahora se regenera en <color=#f5d6c1>1</color> minuto.,<color=#f5d6c1>Escudo Santo</color> ahora se regenera en <color=#f5d6c1>1</color> minuto.,Das <color=#f5d6c1>Heilige Schild</color> erneuert sich jetzt in <color=#f5d6c1>1</color> Minute.,<color=#f5d6c1>Boska Tarcza</color> regeneruje się teraz w <color=#f5d6c1>1</color> minutę.,Lo <color=#f5d6c1>Scudo Sacro</color> ora si rigenera in <color=#f5d6c1>1</color> minuto.,<color=#f5d6c1>İlahi Kalkan</color> artık <color=#f5d6c1>1</color> dakika sonra yenilenir.,<color=#f5d6c1>Bouclier sacré</color> se régénère désormais en <color=#f5d6c1>1</color> minute.,O <color=#f5d6c1>Escudo Sagrado</color> agora se regenera em <color=#f5d6c1>1</color> minuto.,O <color=#f5d6c1>Escudo Sagrado</color> agora se regenera em <color=#f5d6c1>1</color> minuto.,<color=#f5d6c1>신성한 보호막</color>이 <color=#f5d6c1>1</color>분만에 재생됩니다.,A <color=#f5d6c1>Szentelt Pajzs</color> mostmár 1 perc alatt regenerálódik.
electro_bug_name,Electro Bug,電撃虫,唤雷虫,喚雷蟲,Электро жук,Bicho Eléctrico,Bicho Eléctrico,Elektro Käfer,Elektryczny Robak,Insetto del Fulmine,Elektro Böcek,Electro-insecte,Inseto Elétrico,Inseto Elétrico,전기 풍뎅이,Elektromos Bogár
electro_bug_description,Summon an <color=#f5d6c1>Electro Bug</color> that calls down <color=#f5d6c1>Lightning</color> to strike 2 nearby enemies.,<color=#f5d6c1>電撃虫</color>を召喚し、近くの敵2体に<color=#f5d6c1>雷</color>を落として攻撃する。,召唤一只 <color=#f5d6c1>唤雷虫</color> ，它将召唤 <color=#f5d6c1>闪电</color> ，攻击附近随机2名敌人。,召喚一只 <color=#f5d6c1>喚雷蟲</color> ，它將召喚 <color=#f5d6c1>閃電</color> ，攻擊附近隨機2名敵人。,"Призывает <color=#f5d6c1>жука</color>, который бьет <color=#f5d6c1>Молнией</color> 2ух ближайших врагов.",Invoca un <color=#f5d6c1>Bicho Eléctrico</color> que convoca <color=#f5d6c1>Electrocutar</color> para golpear 2 enemigos cercanos.,Invoca un <color=#f5d6c1>Bicho Eléctrico</color> que convoca <color=#f5d6c1>Electrocutar</color> para golpear 2 enemigos cercanos.,"Beschwöre einen <color=#f5d6c1>Elektro Käfer</color>, der <color=#f5d6c1>Blitze</color> in 2 nahe Gegner einschlagen lässt.","Przywołaj <color=#f5d6c1>Elektrycznego Robaka</color>, który przywołuje <color=#f5d6c1>piorun</color>, który trafia 2 pobliskich przeciwników.",Evoca un <color=#f5d6c1>Insetto Fulminante</color> che evoca un <color=#f5d6c1>Fulmine</color> per colpire 2 nemici vicini.,Yakınındaki 2 düşmana <color=#f5d6c1>Yıldırım</color> indiren bir <color=#f5d6c1>Elektro Böcek</color> çağır.,Invoquez un <color=#f5d6c1>Electro-insecte</color> qui appelle la<color=#f5d6c1>Foudre</color> pour frapper 2 ennemis proches.,Invoca um <color=#f5d6c1>Inseto Elétrico</color> que convoca um <color=#f5d6c1>Raio</color> para acertar 2 inimigos próximos.,Invoca um <color=#f5d6c1>Inseto Elétrico</color> que convoca um <color=#f5d6c1>Raio</color> para acertar 2 inimigos próximos.,가까운 2마리의 적에게 <color=#f5d6c1>번개</color>를 내리치는 <color=#f5d6c1>전기 풍뎅이</color>를 소환합니다.,"Egy <color=#f5d6c1>Elektromos Bogarat</color> idézel, ami <color=#f5d6c1>Villámlással</color> megcsap 2 közeli ellenfelet."
electro_mage_name,Electro Mage,電撃魔導士,雷电支配,雷電支配,Электро выстрел,Mago Eléctrico,Mago Eléctrico,Elektromagier,Mag Elektryczności,Mago del Fulmine,Elektro Büyücü,Electro-mage,Mago Elétrico,Mago Elétrico,번개 마법사,Árammágus
electro_mage_description,"On every 2nd shot, call down <color=#f5d6c1>Lightning</color> to strike a nearby enemy for <color=#f5d6c1>22</color> damage.",2発撃つたび近くの敵1体に<color=#f5d6c1>雷</color>を落とし、<color=#f5d6c1>22</color>のダメージを与える。,每第2次射击，召唤 <color=#f5d6c1>闪电</color>，攻击附近1名敌人，造成 <color=#f5d6c1>22</color> 点范围伤害。,每第2次射擊，召喚 <color=#f5d6c1>閃電</color>，攻擊附近1名敵人，造成 <color=#f5d6c1>22</color> 點範圍傷害。,"Каждый 2ой выстрел призывает <color=#f5d6c1>Молнию</color>, которая наносит ближайшему врагу 22 ед. урона","En cada 2do disparo, convoca <color=#f5d6c1>Electrocutar</color> para golpear un enemigo cercano por <color=#f5d6c1>22</color> de daño.","En cada 2do disparo, convoca <color=#f5d6c1>Electrocutar</color> para golpear un enemigo cercano por <color=#f5d6c1>22</color> de daño.","Bei jedem zweiten Schuss, lasse einen <color=#f5d6c1>Blitz</color>, der für <color=#f5d6c1>22</color> Schaden, in nahe Gegner einschlagen.","Co drugi strzał, przywołaj <color=#f5d6c1>Piorun</color>, który trafi pobliskiego wroga zadając <color=#f5d6c1>22</color> obrażenia.","Ogni 2 colpi, evoca un <color=#f5d6c1>Fulmine</color> che colpisce un nemico, infliggendo <color=#f5d6c1>22</color> danni.",Her 2. atışında yakınındaki düşmana <color=#f5d6c1>22</color> hasar veren bir <color=#f5d6c1>Yıldırım</color> indirir.,"À chaque 2ème tir, invoquez la<color=#f5d6c1>Foudre</color> pour frapper un ennemi proche pour <color=#f5d6c1>22</color> dégâts.","A cada dois disparos, convoca um <color=#f5d6c1>Raio</color> para acertar inimigos próximos causando <color=#f5d6c1>22</color> de dano.","A cada dois disparos, convoca um <color=#f5d6c1>Raio</color> para acertar inimigos próximos causando <color=#f5d6c1>22</color> de dano.",두 번째 샷마다 주변의 적에게 <color=#f5d6c1>22</color> 대미지를 가하는 <color=#f5d6c1>번개</color>를 내리칩니다.,"Minden második lövés után megcsapsz egy ellenfelet <color=#f5d6c1>Villámlással</color>, <color=#f5d6c1>22</color>-t sebezve."
electro_mastery_name,Electro Mastery,電撃マスター,雷电大师,雷電大師,Маэстро молний,Maestría Eléctrica,Maestría Eléctrica,Elektro Meisterung,Mistrzyni Elektryczności,Maestro del Fulmine,Elektro Ustalığı,Electro-maîtrise,Domínio Elétrico,Domínio Elétrico,번개 전문가,Villanymester
electro_master_description,All <color=#f5d6c1>Lightning</color> damage increased by <color=#f5d6c1>12</color>. Increase <color=#f5d6c1>Lightning</color> area of effect by <color=#f5d6c1>+75%</color>,すべての<color=#f5d6c1>雷</color>ダメージに<color=#f5d6c1>+12</color>。<color=#f5d6c1>雷</color>の効果範囲<color=#f5d6c1>+75%</color>。,所有 <color=#f5d6c1>闪电</color> <color=#f5d6c1>+12</color> 伤害，<color=#f5d6c1>+75%</color> 伤害范围。,所有 <color=#f5d6c1>閃電</color> <color=#f5d6c1>+12</color> 傷害，<color=#f5d6c1>+75%</color> 傷害範圍。,"Урон от <color=#f5d6c1>Молний</color> увеличен на <color=#f5d6c1>12</color>, а область действия на <color=#f5d6c1>75%</color>.",Todo el daño de <color=#f5d6c1>Electrocutar</color> aumenta a <color=#f5d6c1>12</color>. Incrementa el area del <color=#f5d6c1>Electrocutar</color> en un <color=#f5d6c1>+75%</color>.,Todo el daño de <color=#f5d6c1>Electrocutar</color> aumenta a <color=#f5d6c1>12</color>. Incrementa el area del <color=#f5d6c1>Electrocutar</color> en un <color=#f5d6c1>+75%</color>.,Jeder <color=#f5d6c1>Blitz</color> Schaden wird erhöht um <color=#f5d6c1>12</color>. Erhöhe außerdem deinen <color=#f5d6c1>Blitz</color> Wirkungsbereich für <color=#f5d6c1>+75%</color>.,Wszystkie <color=#f5d6c1>Pioruny</color> zadają o <color=#f5d6c1>12</color> więcej obrażen. Strefa efektu <color=#f5d6c1>Piorunów</color> jest zwiększona o <color=#f5d6c1>+75%</color>.,Il danno di ogni <color=#f5d6c1>Fulmine</color> aumenta di <color=#f5d6c1>12</color>. L'area d'effetto del <color=#f5d6c1>Fulmine</color> aumenta del <color=#f5d6c1>+75%</color>.,Bütün <color=#f5d6c1>Yıldırım</color> hasarı <color=#f5d6c1>12</color> artar. <color=#f5d6c1>Yıldırımların</color> etkilediği alanı <color=#f5d6c1>75%</color> büyütür.,Tous les dégâts de <color=#f5d6c1>Foudre</color> sont augmentés de <color=#f5d6c1>12</color>. Augmente la zone d'effet de la <color=#f5d6c1>Foudre</color>de <color=#f5d6c1>+75%</color>.,Todo o dano <color=#f5d6c1>Elétrico</color> é aumentado em <color=#f5d6c1>12</color>. Aumenta a área de efeito do <color=#f5d6c1>Raio</color> em <color=#f5d6c1>+75%</color>,Todo o dano <color=#f5d6c1>Elétrico</color> é aumentado em <color=#f5d6c1>12</color>. Aumenta a área de efeito do <color=#f5d6c1>Raio</color> em <color=#f5d6c1>+75%</color>,모든 <color=#f5d6c1>번개</color>의 대미지가 <color=#f5d6c1>12</color> 증가하며 범위가 <color=#f5d6c1>75%</color> 증가합니다.,Minden <color=#f5d6c1>Villámcsapás</color> által okozott sebzés megnövekedik <color=#f5d6c1>12</color>-vel. A <color=#f5d6c1>Villámcsapás</color> hatásterülete megnövekszik <color=#f5d6c1>+75%</color>-al.
energized_name,Energized,活気,电力充能,電力充能,Подзарядка,Energizado,Energizado,Energiegeladen,Naenergetyzowany,Energizzato,Enerjik,Energisé,Energizado,Energizado,전기 충전,Felvillanyozott
energized_description,"When <color=#f5d6c1>Lightning</color> strikes an enemy, there's a <color=#f5d6c1>20%</color> chance to automatically refill <color=#f5d6c1>3</color> of your ammo.",<color=#f5d6c1>雷</color>が敵に当たった時、<color=#f5d6c1>20%</color>の確率で<color=#f5d6c1>3</color>枚の弾を自動的に補充できる。,当 <color=#f5d6c1>闪电</color> 击中敌人，将有 <color=#f5d6c1>20%</color> 几率装填 <color=#f5d6c1>3</color> 发子弹。,當 <color=#f5d6c1>閃電</color> 擊中敵人，將有 <color=#f5d6c1>20%</color> 幾率補充 <color=#f5d6c1>3</color> 枚子彈。,"<color=#f5d6c1>20%</color> шанс восполнить <color=#f5d6c1>20%</color> снаряда, когда <color=#f5d6c1>Молния</color> поражает врага.","Cuando <color=#f5d6c1>Electrocutar</color> golpea un enemigo, hay una chance del <color=#f5d6c1>20%</color> de recargar <color=#f5d6c1>3</color> de tu municiones automaticamente.","Cuando <color=#f5d6c1>Electrocutar</color> golpea un enemigo, hay una chance del <color=#f5d6c1>20%</color> de recargar <color=#f5d6c1>3</color> de tu municiones automaticamente.",Wenn <color=#f5d6c1>Blitze</color> in Gegner einschlagen hast du eine <color=#f5d6c1>20%</color> Chance deine Munition um <color=#f5d6c1>3</color> aufzufüllen.,"Kiedy <color=#f5d6c1>Piorun</color> uderza w przeciwnika, ma on <color=#f5d6c1>20%</color> szansy by automatycznie uzupełnić <color=#f5d6c1>3</color> sztuki twojej amunicji.","Quando un <color=#f5d6c1>Fulmine</color> colpisce un nemico, c'è una possibilità del <color=#f5d6c1>20%</color> di ricaricare automaticamente <color=#f5d6c1>3</color> munizioni.",Bir düşmana <color=#f5d6c1>Yıldırım</color> düştüğünde <color=#f5d6c1>20%</color> şans ile şarjörüne <color=#f5d6c1>3</color> mermi doldurulur.,"Lorsque la<color=#f5d6c1>Foudre</color> frappe un ennemi, il y a <color=#f5d6c1>20%</color> de chances de recharger automatiquement <color=#f5d6c1>3</color> de vos munitions.","Quando o <color=#f5d6c1>Raio</color> acertar um inimigo, existe <color=#f5d6c1>20%</color> de chance de recarregar automaticamente <color=#f5d6c1>3</color> de munição.","Quando o <color=#f5d6c1>Raio</color> acertar um inimigo, existe <color=#f5d6c1>20%</color> de chance de recarregar automaticamente <color=#f5d6c1>3</color> de munição.","<color=#f5d6c1>번개</color>가 적을 내리칠 때, <color=#f5d6c1>20%</color> 확률로 <color=#f5d6c1>3</color>개의 탄환이 충전됩니다.","Amikor <color=#f5d6c1>Villám</color> csap meg egy ellenfelet, <color=#f5d6c1>20%</color> esély van arra, hogy <color=#f5d6c1>3</color> golyót újratöltsön a fegyveredben."
pyro_mage_name,Pyro Mage,火炎魔導士,火焰附魔,火焰附魔,Поджигатель,Mago Pirómano,Mago Pirómano,Feuermagier,Mag Ognia,Mago del Fuoco,Alev Büyücüsü,Pyro-mage,Piromago,Piromago,불 마법사,Tűzvarázsló
pyro_mage_description,Your bullets have a <color=#f5d6c1>50%</color> chance to inflict <color=#f5d6c1>Burn</color> for <color=#f5d6c1>3</color> damage per second.,着弾時<color=#f5d6c1>50%</color>の確率で毎秒<color=#f5d6c1>3</color>ダメージの<color=#f5d6c1>燃焼</color>効果を与える。,你发射的子弹有 <color=#f5d6c1>50%</color> 几率给予敌人 <color=#f5d6c1>燃烧</color> 效果，造成每秒 <color=#f5d6c1>3</color> 点伤害。,你發射的子彈有 <color=#f5d6c1>50%</color> 幾率給予敵人 <color=#f5d6c1>燃燒</color> 效果，造成每秒 <color=#f5d6c1>3</color> 點傷害。,"Снаряды с <color=#f5d6c1>50%</color> шансом <color=#f5d6c1>поджигают</color> врагов, нанося <color=#f5d6c1>3</color> урона в секунду.",Tus balas tienen una chance del <color=#f5d6c1>50%</color> de <color=#f5d6c1>Quemar</color> <color=#f5d6c1>3</color> de daño por segundo.,Tus balas tienen una chance del <color=#f5d6c1>50%</color> de <color=#f5d6c1>Quemar</color> <color=#f5d6c1>3</color> de daño por segundo.,Deine Schüsse haben eine <color=#f5d6c1>50%</color> Chance <color=#f5d6c1>Brand</color> für <color=#f5d6c1>3</color> Schaden pro Sekunde zu verursachen.,Twoje pociski mają <color=#f5d6c1>50%</color> szansy by <color=#f5d6c1>Podpalić</color> przeciwników zadając <color=#f5d6c1>3</color> obrażenia na sekundę.,I tuoi proiettili hanno una possibilità del <color=#f5d6c1>50%</color> di infliggere <color=#f5d6c1>Bruciatura</color> per <color=#f5d6c1>3</color> danni al secondo.,Mermilerinn <color=#f5d6c1>50%</color> şansla düşmanları saniyede <color=#f5d6c1>3</color> hasar verecek şekilde <color=#f5d6c1>Yakar</color>.,Vos balles ont <color=#f5d6c1>50%</color> de chances d'infliger <color=#f5d6c1>Brûlure</color> pour <color=#f5d6c1>3</color> dégâts par seconde.,"Os seus disparos têm <color=#f5d6c1>50%</color> de chance de infligir <color=#f5d6c1>Queimação</color>, causando <color=#f5d6c1>3</color> de dano por segundo.","Os seus disparos têm <color=#f5d6c1>50%</color> de chance de infligir <color=#f5d6c1>Queimação</color>, causando <color=#f5d6c1>3</color> de dano por segundo.",탄환이 <color=#f5d6c1>50%</color>의 확률로 초당 <color=#f5d6c1>3</color> 대미지의 <color=#f5d6c1>화염</color>을 가합니다.,"A golyóknak <color=#f5d6c1>50%</color> esélye van arra, hogy <color=#f5d6c1>Felgyújtsanak</color> ellenfeleket 3 sebzést okozva másodpercenként."
fire_starter_name,Fire Starter,ファイヤースターター,火焰新星,火焰新星,Огненный шар,Iniciador de Fuego,Iniciador de Fuego,Feuerstarter,Podpałka,Apprendista del Fuoco,Yangın Başlatıcı,Allume-feu,Incendiário,Incendiário,파이어볼,Gyújtogató
fire_starter_description,"On every 5th shot, launch a <color=#f5d6c1>Fireball</color> that deals <color=#f5d6c1>40</color> damage. The <color=#f5d6c1>Fireball</color> also inflicts <color=#f5d6c1>Burn</color> to enemies in a large area for <color=#f5d6c1>3</color> damage per second.",4発撃つたびに<color=#f5d6c1>火の玉</color>を発射し、<color=#f5d6c1>40</color>ダメージを与える。<color=#f5d6c1>火の玉</color>は広範囲の敵にも<color=#f5d6c1>燃焼</color>を与え、毎秒<color=#f5d6c1>3</color>ダメージを与える。,每第4次射击，同时发射一个 <color=#f5d6c1>火球</color> 造成 <color=#f5d6c1>40</color> 点伤害。 <color=#f5d6c1>火球</color> 将同时造成大范围 <color=#f5d6c1>燃烧</color> 效果，对附近敌人造成每秒 <color=#f5d6c1>3</color> 点伤害。,每第4次射擊，同時發射一個 <color=#f5d6c1>火球</color> 造成 <color=#f5d6c1>40</color> 點傷害。 <color=#f5d6c1>火球</color> 將同時造成大範圍 <color=#f5d6c1>燃燒</color> 效果，對附近敵人造成每秒 <color=#f5d6c1>3</color> 點傷害。,"Каждые 4 выстрела, персонаж выпускает <color=#f5d6c1>огненный шар</color>: наносит <color=#f5d6c1>40</color> ед. урона и <color=#f5d6c1>поджог</color>, что наносит <color=#f5d6c1>3</color> урона в секунду.","Cada  4to disparo, lanza una <color=#f5d6c1>Bola de Fuego</color> que hace <color=#f5d6c1>40</color> de daño. La <color=#f5d6c1>Bola de Fuego</color> además crea <color=#f5d6c1>Quemar</color> a los enemigos en una gran área haciendo <color=#f5d6c1>3</color> de daño por segundo.","Cada  4to disparo, lanza una <color=#f5d6c1>Bola de Fuego</color> que hace <color=#f5d6c1>40</color> de daño. La <color=#f5d6c1>Bola de Fuego</color> además crea <color=#f5d6c1>Quemar</color> a los enemigos en una gran área haciendo <color=#f5d6c1>3</color> de daño por segundo.","Bei jedem Vierten Schuss schieße einen <color=#f5d6c1>Feuerball</color>, der <color=#f5d6c1>40</color> Schaden verursacht. Der <color=#f5d6c1>Feuerball</color> verursacht <color=#f5d6c1>Brand</color> an allen Gegnern in einem großen Bereich für <color=#f5d6c1>3</color> Schaden pro Sekunde.","Co 4 strzały wystrzel <color=#f5d6c1>Kulę Ognia</color>, która zadaje <color=#f5d6c1>40</color> obrażeń. <color=#f5d6c1>Kula Ognia</color> <color=#f5d6c1>Podpala</color> też przeciwników zadając <color=#f5d6c1>3</color> obrażenia na sekundę.","Ogni 4 colpi, lancia una <color=#f5d6c1>Palla di Fuoco</color> che infligge <color=#f5d6c1>40</color> danni. La <color=#f5d6c1>Palla di Fuoco</color> infligge <color=#f5d6c1>Burn</color> ai nemici in un'area per <color=#f5d6c1>3</color> danni al secondo.",Her 4. atışta <color=#f5d6c1>40</color> hasar veren <color=#f5d6c1>Ateş Topu</color> fırlatırsın. Ayrıca <color=#f5d6c1>Ateş Topu</color> çarptığı alana saniyede <color=#f5d6c1>3</color> hasar veren <color=#f5d6c1>Yanma</color> etkisi verir.,"À chaque 4e tir, lancez une <color=#f5d6c1>Boule de feu</color> qui inflige <color=#f5d6c1>40</color> dégâts. La <color=#f5d6c1>Boule de feu</color> inflige également <color=#f5d6c1>Burn</color> aux ennemis dans une large zone pour <color=#f5d6c1>3</color> dégâts par seconde.","A cada quarto disparo, lança uma <color=#f5d6c1>Bola de Fogo</color> que causa <color=#f5d6c1>40</color> de dano. A <color=#f5d6c1>Bola de Fogo</color> também inflige <color=#f5d6c1>Queimação</color> aos inimigos em uma grande área, causando <color=#f5d6c1>3</color> de dano por segundo.","A cada quarto disparo, lança uma <color=#f5d6c1>Bola de Fogo</color> que causa <color=#f5d6c1>40</color> de dano. A <color=#f5d6c1>Bola de Fogo</color> também inflige <color=#f5d6c1>Queimação</color> aos inimigos em uma grande área, causando <color=#f5d6c1>3</color> de dano por segundo.",4번째 샷마다 <color=#f5d6c1>40</color> 대미지를 가하는 <color=#f5d6c1>파이어볼</color>을 발사합니다. 또한 <color=#f5d6c1>파이어볼</color>은 넓은 범위의 적에게 초당 <color=#f5d6c1>3</color> 대미지의 <color=#f5d6c1>화염</color>을 가합니다.,"Minden ötödik lövésnél lőjj ki egy <color=#f5d6c1>Tűzlabdát</color>, ami <color=#f5d6c1>40</color> sebzést okoz. A <color=#f5d6c1>Tűzlabda</color> emellett <color=#f5d6c1>Felgyújt</color> ellenfeleket egy széles körben, <color=#f5d6c1>3</color> sebzést okozva másodpercenként."
intense_burn_name,Intense Burn,インテンスバーン,火焰精通,火焰精通,Усиление огня,Quemadura Intensa,Quemadura Intensa,Heftiger Brand,Mocne Oparzenia,Fiamma Potente,Kuvvetli Ateş,Brûlure intense,Queimação Intensa,Queimação Intensa,대화염,Izzó Égés
intense_burn_description,Burn Damage <color=#f5d6c1>+35%</color>,燃焼ダメージ<color=#f5d6c1>+35%</color>,燃烧造成的伤害增加 <color=#f5d6c1>35%</color> 。,燃燒造成的傷害增加 <color=#f5d6c1>35%</color> 。,Увеличивает урон от <color=#f5d6c1>поджога</color> на 35%,Daño de Quemado por <color=#f5d6c1>+35%</color>.,Daño de Quemado por <color=#f5d6c1>+35%</color>.,Brand Schaden <color=#f5d6c1>+35%</color>,Obrażenia od ognia wzrastają o <color=#f5d6c1>+35%</color>.,Danno da Bruciatura <color=#f5d6c1>+35%</color>,Ateş hasarı <color=#f5d6c1>35%</color> artar.,<color=#f5d6c1>+35%</color> dégats de brûlure.,Dano da Queimação aumenta em <color=#f5d6c1>+35%</color>,Dano da Queimação aumenta em <color=#f5d6c1>+35%</color>,화염 대미지 <color=#f5d6c1>+35%</color>,Gyújtás Sebzés <color=#f5d6c1>+35%</color>
soothing_warmth_name,Soothing Warmth,癒しのぬくもり,暖流,暖流,Восстанавливающий огонь,Calor Relajante,Calor Relajante,Wohltuende Wärme,Kojące Ciepło,Calore Curativo,Rahatlatan Sıcaklık,Chaleur apaisante,Calor Curativo,Calor Curativo,치유의 온기,Kellemes Meleg
soothing_warmth_description,"When you inflict <color=#f5d6c1>Burn</color>, there is a <color=#f5d6c1>0.05%</color> chance to heal you for <color=#f5d6c1>1</color> HP.",<color=#f5d6c1>燃焼</color>を与えた時、<color=#f5d6c1>0.5%</color>の確率で<color=#f5d6c1>1</color>HP回復する。,当你给予敌人 <color=#f5d6c1>燃烧</color> 效果时，有 <color=#f5d6c1>0.5%</color> 几率恢复 <color=#f5d6c1>1</color> 点血量。,當你給予敵人 <color=#f5d6c1>燃燒</color> 效果時，有 <color=#f5d6c1>0.5%</color> 幾率恢復 <color=#f5d6c1>1</color> 點血量。,"Когда персонаж <color=#f5d6c1>поджигает</color> врага, есть 0,5% шанс восстановить 1 ОЗ.","Cuando Inflinjes <color=#f5d6c1>Quemar</color>, hay una chance del <color=#f5d6c1>0.5%</color> de que te cure <color=#f5d6c1>1</color> de PS.","Cuando Inflinjes <color=#f5d6c1>Quemar</color>, hay una chance del <color=#f5d6c1>0.5%</color> de que te cure <color=#f5d6c1>1</color> de PS.","Du hast eine <color=#f5d6c1>0.5%</color> Chance dich für <color=#f5d6c1>1</color> Lebenspunkt zu heilen, wenn du <color=#f5d6c1>Brand</color> verursachst.","Kiedy zadajesz obrażenia od <color=#f5d6c1>Ognia</color>, jest <color=#f5d6c1>0.5%</color> szansy by uleczyć cię o <color=#f5d6c1>1</color> HP.","Quando infliggi <color=#f5d6c1>Bruciatura</color>, c'è una chance del <color=#f5d6c1>0.5%</color> di ripristinare <color=#f5d6c1>1</color> HP.",Bir düşmana <color=#f5d6c1>Yanma</color> etkisi verdiğinde  <color=#f5d6c1>0.5%</color> şansla kendini <color=#f5d6c1>1</color> Can iyileştir.,"Lorsque vous infligez <color=#f5d6c1>Brûlure </color>, il y a <color=#f5d6c1>0,5%</color> chance de vous soigner pour <color=#f5d6c1>1</color> PV.","Quando você infligir <color=#f5d6c1>Queimação</color>, existe <color=#f5d6c1>0.5%</color> de chance de curar você em <color=#f5d6c1>1</color> de PV.","Quando você infligir <color=#f5d6c1>Queimação</color>, existe <color=#f5d6c1>0.5%</color> de chance de curar você em <color=#f5d6c1>1</color> de PV.",<color=#f5d6c1>화염</color> 공격은 <color=#f5d6c1>0.05%</color> 확률로 <color=#f5d6c1>1</color> HP를 회복시켜줍니다.,"Amikor <color=#f5d6c1>Felgyújtassz</color> egy ellenfelet, <color=#f5d6c1>0.05%</color> esély van arra, hogy  <color=#f5d6c1>1</color> Életerőt gyógyulj."
fan_fire_name,Fan Fire,扇形ファイア,华丽谢幕,槍花,Круговой обстрел,Fan del Fuego,Fan del Fuego,Fächerfeuer,Ogień Wiatrakowy,Anello di Piombo,Yelpaze Ateşi,Rafale,Disparo Espiral,Disparo Espiral,회오리 연사,Sortűz
